"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "CSS", "JSON with Comments", "Markdown", "comment", "blank", "total"
"r:\Code\Javascript\Nextjs\foodica\.eslintrc.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"r:\Code\Javascript\Nextjs\foodica\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 14, 37
"r:\Code\Javascript\Nextjs\foodica\db\blogs.json", "JSON", 0, 0, 0, 288, 0, 0, 0, 0, 1, 289
"r:\Code\Javascript\Nextjs\foodica\db\users.json", "JSON", 0, 0, 0, 262, 0, 0, 0, 0, 1, 263
"r:\Code\Javascript\Nextjs\foodica\next.config.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"r:\Code\Javascript\Nextjs\foodica\package-lock.json", "JSON", 0, 0, 0, 8269, 0, 0, 0, 0, 1, 8270
"r:\Code\Javascript\Nextjs\foodica\package.json", "JSON", 0, 0, 0, 52, 0, 0, 0, 0, 1, 53
"r:\Code\Javascript\Nextjs\foodica\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"r:\Code\Javascript\Nextjs\foodica\src\app\api\auth\[...nextauth]\options.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 6, 85
"r:\Code\Javascript\Nextjs\foodica\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"r:\Code\Javascript\Nextjs\foodica\src\app\api\edgestore\[...edgestore]\route.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 3, 5
"r:\Code\Javascript\Nextjs\foodica\src\app\authors\[authorName]\page.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"r:\Code\Javascript\Nextjs\foodica\src\app\authors\layout.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"r:\Code\Javascript\Nextjs\foodica\src\app\authors\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\[month]\[day]\[blogName]\page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\[month]\[day]\page.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 0, 0, 1, 2, 41
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\[month]\page.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\page.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\layout.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\page.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"r:\Code\Javascript\Nextjs\foodica\src\app\create-blog\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"r:\Code\Javascript\Nextjs\foodica\src\app\layout.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 2, 45
"r:\Code\Javascript\Nextjs\foodica\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"r:\Code\Javascript\Nextjs\foodica\src\app\register\page.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"r:\Code\Javascript\Nextjs\foodica\src\app\styles.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"r:\Code\Javascript\Nextjs\foodica\src\components\AwaitableImage.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogCard.tsx", "TypeScript JSX", 0, 118, 0, 0, 0, 0, 0, 0, 12, 130
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogCardPicture.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\BlogForm.tsx", "TypeScript JSX", 0, 387, 0, 0, 0, 0, 0, 5, 21, 413
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\DirectionsField.tsx", "TypeScript JSX", 0, 116, 0, 0, 0, 0, 0, 0, 7, 123
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\IngredientsField.tsx", "TypeScript JSX", 0, 185, 0, 0, 0, 0, 0, 1, 6, 192
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\SubmitBlogButton.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\schemas.ts", "TypeScript", 156, 0, 0, 0, 0, 0, 0, 0, 5, 161
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPostPage.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\BlogComments.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\BlogConclusion.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\BlogDescription.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 2, 47
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\BlogDistribution.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\BlogPost.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\OtherAuthorBlogs.tsx", "TypeScript JSX", 0, 118, 0, 0, 0, 0, 0, 16, 10, 144
