"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "JSON", "CSS", "Markdown", "comment", "blank", "total"
"r:\Code\Javascript\Nextjs\foodica\.eslintrc.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"r:\Code\Javascript\Nextjs\foodica\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 14, 37
"r:\Code\Javascript\Nextjs\foodica\db\blogs.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"r:\Code\Javascript\Nextjs\foodica\db\users.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"r:\Code\Javascript\Nextjs\foodica\next.config.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"r:\Code\Javascript\Nextjs\foodica\package-lock.json", "JSON", 0, 0, 0, 0, 8436, 0, 0, 0, 1, 8437
"r:\Code\Javascript\Nextjs\foodica\package.json", "JSON", 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"r:\Code\Javascript\Nextjs\foodica\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"r:\Code\Javascript\Nextjs\foodica\src\app\api\auth\[...nextauth]\options.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 6, 88
"r:\Code\Javascript\Nextjs\foodica\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 3, 7
"r:\Code\Javascript\Nextjs\foodica\src\app\api\edgestore\[...edgestore]\route.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 3, 5
"r:\Code\Javascript\Nextjs\foodica\src\app\authors\[authorName]\layout.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\authors\[authorName]\page.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\[month]\[day]\[blogName]\loading.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\[month]\[day]\[blogName]\page.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\[month]\[day]\loading.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\[month]\[day]\page.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\[month]\loading.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\[month]\page.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\loading.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\[year]\page.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\layout.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\loading.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\blogs\page.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\create-blog\loading.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"r:\Code\Javascript\Nextjs\foodica\src\app\create-blog\page.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"r:\Code\Javascript\Nextjs\foodica\src\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"r:\Code\Javascript\Nextjs\foodica\src\client-utils\userFunctions.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"r:\Code\Javascript\Nextjs\foodica\src\components\AuthorBlogsSection.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"r:\Code\Javascript\Nextjs\foodica\src\components\AwaitableImage.tsx", "TypeScript JSX", 0, 0, 0, 48, 0, 0, 0, 5, 4, 57
"r:\Code\Javascript\Nextjs\foodica\src\components\BackToTop.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 6, 48
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogCard.tsx", "TypeScript JSX", 0, 0, 0, 91, 0, 0, 0, 0, 9, 100
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogCardPicture.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\BlogForm.tsx", "TypeScript JSX", 0, 0, 0, 218, 0, 0, 0, 3, 20, 241
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\ConfirmDelete.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 2, 59
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\DirectionsField.tsx", "TypeScript JSX", 0, 0, 0, 113, 0, 0, 0, 0, 7, 120
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\IngredientsField.tsx", "TypeScript JSX", 0, 0, 0, 189, 0, 0, 0, 0, 6, 195
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\SubmitBlogButton.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\hooks.tsx", "TypeScript JSX", 0, 0, 0, 442, 0, 0, 0, 0, 34, 476
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\schemas.ts", "TypeScript", 0, 156, 0, 0, 0, 0, 0, 0, 5, 161
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\BlogComments.tsx", "TypeScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 13, 92
